Item,Disaster Type,Month,gglCountry,PersonsPerItem
MosquitoNetGen,DEFAULT,-1,Costa Rica,2.5
MosquitoNetGen,DEFAULT,-1,Cuba,1.00E+15
MosquitoNetGen,DEFAULT,-1,Dominica,1.00E+15
MosquitoNetGen,DEFAULT,-1,El Salvador,2.5
MosquitoNetGen,DEFAULT,-1,Grenada,1.00E+15
MosquitoNetGen,DEFAULT,-1,Guatemala,2.5
MosquitoNetGen,DEFAULT,-1,Haiti,2.5
MosquitoNetGen,DEFAULT,-1,Honduras,2.5
MosquitoNetGen,DEFAULT,-1,Jamaica,1.00E+15
MosquitoNetGen,DEFAULT,-1,Mexico,2.5
MosquitoNetGen,DEFAULT,-1,Montserrat,1.00E+15
MosquitoNetGen,DEFAULT,-1,Nicaragua,2.5
MosquitoNetGen,DEFAULT,-1,Panama,2.5
MosquitoNetGen,DEFAULT,-1,Puerto Rico,1.00E+15
MosquitoNetGen,DEFAULT,-1,Trinidad and Tobago,1.00E+15
MosquitoNetGen,DEFAULT,-1,United States,1.00E+15
MosquitoNetGen,DEFAULT,-1,Wallis and Futuna,1.00E+15
MosquitoNetGen,DEFAULT,-1,Marshall Islands,1.00E+15
MosquitoNetGen,DEFAULT,-1,Cook Islands,1.00E+15
MosquitoNetGen,DEFAULT,-1,Northern Mariana Islands,1.00E+15
MosquitoNetGen,DEFAULT,-1,Tokelau,1.00E+15
MosquitoNetGen,DEFAULT,-1,Solomon Islands,2.5
MosquitoNetGen,DEFAULT,-1,Micronesia,1.00E+15
MosquitoNetGen,DEFAULT,-1,American Samoa,1.00E+15
MosquitoNetGen,DEFAULT,-1,Australia,1.00E+15
MosquitoNetGen,DEFAULT,-1,Fiji,1.00E+15
MosquitoNetGen,DEFAULT,-1,French Polynesia,1.00E+15
MosquitoNetGen,DEFAULT,-1,Guam,1.00E+15
